Fecha,Hora,Produccion_Eolica
2019-02-07,21,20.0
2019-02-07,22,32.5
2019-02-07,23,42.5
2019-02-07,24,55.0
2019-02-08,1,71.0
2019-02-08,2,79.5
2019-02-08,3,82.0
2019-02-08,4,94.5
2019-02-08,5,110.0
2019-02-08,6,126.0
2019-02-08,7,139.0
2019-02-08,8,124.0
2019-02-08,9,66.5
2019-02-08,10,14.5
2019-02-08,11,1.5
2019-02-08,12,1.5
2019-02-08,13,11.0
2019-02-08,14,24.0
2019-02-08,15,32.0
2019-02-08,16,25.5
2019-02-08,17,8.0
2019-02-08,18,4.5
2019-02-08,19,14.5
2019-02-08,20,19.5
2019-02-08,21,19.0
2019-02-08,22,17.5
2019-02-08,23,16.5
2019-02-08,24,15.0
2019-02-09,1,14.5
2019-02-09,2,15.5
2019-02-09,3,18.0
2019-02-09,4,20.0
2019-02-09,5,21.0
2019-02-09,6,21.5
2019-02-09,7,22.5
2019-02-09,8,20.0
2019-02-09,9,10.0
2019-02-09,10,5.5
2019-02-09,11,6.0
2019-02-09,12,8.5
2019-02-09,13,11.0
2019-02-09,14,11.5
2019-02-09,15,23.5
2019-02-09,16,32.0
2019-02-09,17,26.5
2019-02-09,18,13.5
2019-02-09,19,14.0
2019-02-09,20,19.0
2019-02-09,21,22.0
2019-02-09,22,24.5
2019-02-09,23,22.5
2019-02-09,24,19.0
2019-02-10,1,21.5
2019-02-10,2,20.5
2019-02-10,3,15.5
2019-02-10,4,12.5
2019-02-10,5,11.0
2019-02-10,6,10.0
2019-02-10,7,10.0
2019-02-10,8,12.5
2019-02-10,9,11.0
2019-02-10,10,5.5
2019-02-10,11,1.5
2019-02-10,12,2.5
2019-02-10,13,4.0
2019-02-10,14,10.5
2019-02-10,15,20.5
2019-02-10,16,41.0
2019-02-10,17,38.0
2019-02-10,18,46.0
2019-02-10,19,104.0
2019-02-10,20,163.0
2019-02-10,21,145.5
2019-02-10,22,116.5
2019-02-10,23,128.5
2019-02-10,24,165.5
2019-02-11,1,181.0
2019-02-11,2,146.5
2019-02-11,3,140.5
2019-02-11,4,216.0
2019-02-11,5,284.0
2019-02-11,6,273.0
2019-02-11,7,261.5
2019-02-11,8,233.0
2019-02-11,9,200.5
2019-02-11,10,231.5
2019-02-11,11,311.0
2019-02-11,12,355.0
2019-02-11,13,364.0
2019-02-11,14,357.0
2019-02-11,15,328.0
2019-02-11,16,280.5
2019-02-11,17,242.5
2019-02-11,18,206.5
2019-02-11,19,165.0
2019-02-11,20,115.0
2019-02-11,21,93.0
2019-02-11,22,105.5
2019-02-11,23,133.0
2019-02-11,24,136.0
2019-02-12,1,118.5
2019-02-12,2,112.5
2019-02-12,3,125.5
2019-02-12,4,154.5
2019-02-12,5,212.5
2019-02-12,6,258.0
2019-02-12,7,248.0
2019-02-12,8,202.0
2019-02-12,9,133.0
2019-02-12,10,70.0
2019-02-12,11,34.0
2019-02-12,12,24.5
2019-02-12,13,18.0
2019-02-12,14,22.5
2019-02-12,15,30.5
2019-02-12,16,40.0
2019-02-12,17,52.0
2019-02-12,18,69.5
2019-02-12,19,83.5
2019-02-12,20,83.5
2019-02-12,21,62.0
2019-02-12,22,34.0
2019-02-12,23,17.0
2019-02-12,24,18.0
2019-02-13,1,22.5
2019-02-13,2,26.5
2019-02-13,3,27.0
2019-02-13,4,24.5
2019-02-13,5,22.0
2019-02-13,6,20.5
2019-02-13,7,21.0
2019-02-13,8,20.5
2019-02-13,9,11.5
2019-02-13,10,6.0
2019-02-13,11,6.5
